"filename", "language", "JSON with Comments", "Dotenv", "MS SQL", "TypeScript JSX", "TypeScript", "JSON", "Markdown", "JavaScript", "comment", "blank", "total"
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\components\themed-view.tsx", "TypeScript JSX", 0, 0, 0, 10, 0, 0, 0, 0, 0, 5, 15
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\components\ui\collapsible.tsx", "TypeScript JSX", 0, 0, 0, 40, 0, 0, 0, 0, 0, 6, 46
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\components\ui\icon-symbol.ios.tsx", "TypeScript JSX", 0, 0, 0, 31, 0, 0, 0, 0, 0, 2, 33
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\components\ui\icon-symbol.tsx", "TypeScript JSX", 0, 0, 0, 29, 0, 0, 0, 0, 11, 5, 45
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\constants\effects.ts", "TypeScript", 0, 0, 0, 0, 23, 0, 0, 0, 0, 5, 28
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\constants\theme.ts", "TypeScript", 0, 0, 0, 0, 37, 0, 0, 0, 1, 7, 45
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\context\AuthContext.tsx", "TypeScript JSX", 0, 0, 0, 81, 0, 0, 0, 0, 4, 16, 101
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\context\ContactsContext.tsx", "TypeScript JSX", 0, 0, 0, 129, 0, 0, 0, 0, 24, 19, 172
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\context\DebtContext.tsx", "TypeScript JSX", 0, 0, 0, 411, 0, 0, 0, 0, 27, 50, 488
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\context\GroupsContext.tsx", "TypeScript JSX", 0, 0, 0, 110, 0, 0, 0, 0, 11, 15, 136
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\context\ThemeContext.tsx", "TypeScript JSX", 0, 0, 0, 139, 0, 0, 0, 0, 0, 16, 155
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\debt-tracker-app.code-workspace", "JSON with Comments", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\eslint.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 8, 1, 2, 11
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\hooks\use-color-scheme.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\hooks\use-color-scheme.web.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 3, 6, 22
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\hooks\use-theme-color.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 4, 4, 22
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\lib\phoneUtils.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 11, 2, 19
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\lib\services\contactsService.ts", "TypeScript", 0, 0, 0, 0, 228, 0, 0, 0, 43, 28, 299
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\lib\services\debtService.ts", "TypeScript", 0, 0, 0, 0, 367, 0, 0, 0, 81, 63, 511
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\lib\services\groupService.ts", "TypeScript", 0, 0, 0, 0, 188, 0, 0, 0, 31, 31, 250
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\lib\services\notificationService.ts", "TypeScript", 0, 0, 0, 0, 46, 0, 0, 0, 0, 8, 54
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\lib\storage.native.ts", "TypeScript", 0, 0, 0, 0, 2, 0, 0, 0, 1, 2, 5
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\lib\storage.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 2, 1, 7
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\lib\supabase.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\package-lock.json", "JSON", 0, 0, 0, 0, 0, 13399, 0, 0, 0, 1, 13400
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\package.json", "JSON", 0, 0, 0, 0, 0, 57, 0, 0, 0, 1, 58
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\scripts\reset-project.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 89, 10, 14, 113
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\.temp\linked-project.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\migrations\20260521000000_initial_schema.sql", "MS SQL", 0, 0, 258, 0, 0, 0, 0, 0, 77, 77, 412
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\migrations\20260521000001_contacts_extra_columns.sql", "MS SQL", 0, 0, 18, 0, 0, 0, 0, 0, 8, 10, 36
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\migrations\20260521000002_ensure_contacts_schema.sql", "MS SQL", 0, 0, 18, 0, 0, 0, 0, 0, 7, 10, 35
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\migrations\20260521000003_groups_extra_columns.sql", "MS SQL", 0, 0, 26, 0, 0, 0, 0, 0, 19, 13, 58
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\migrations\20260521000004_fix_rls_recursion.sql", "MS SQL", 0, 0, 29, 0, 0, 0, 0, 0, 30, 14, 73
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\migrations\20260521000005_fix_groups_insert_policy.sql", "MS SQL", 0, 0, 4, 0, 0, 0, 0, 0, 14, 4, 22
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\migrations\20260521000006_fix_groups_insert_rls.sql", "MS SQL", 0, 0, 8, 0, 0, 0, 0, 0, 13, 3, 24
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\migrations\20260522000000_profiles_email.sql", "MS SQL", 0, 0, 38, 0, 0, 0, 0, 0, 19, 9, 66
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\migrations\20260522000001_mirror_contact_rpc.sql", "MS SQL", 0, 0, 48, 0, 0, 0, 0, 0, 20, 7, 75
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\migrations\20260523000000_debt_accept_decline_rls.sql", "MS SQL", 0, 0, 10, 0, 0, 0, 0, 0, 15, 2, 27
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\migrations\20260523000001_contacts_realtime.sql", "MS SQL", 0, 0, 1, 0, 0, 0, 0, 0, 12, 2, 15
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\migrations\20260524000000_partial_payments.sql", "MS SQL", 0, 0, 47, 0, 0, 0, 0, 0, 20, 12, 79
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\migrations\20260524000001_debts_payments_realtime.sql", "MS SQL", 0, 0, 2, 0, 0, 0, 0, 0, 7, 2, 11
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\migrations\20260524000002_payments_client_request_id.sql", "MS SQL", 0, 0, 9, 0, 0, 0, 0, 0, 7, 3, 19
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\migrations\20260524000003_payments_idempotency_enforced.sql", "MS SQL", 0, 0, 32, 0, 0, 0, 0, 0, 6, 6, 44
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\migrations\20260524000004_pending_debt_edit_cancel_rls.sql", "MS SQL", 0, 0, 21, 0, 0, 0, 0, 0, 7, 4, 32
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\migrations\20260524000005_payments_borrower_only_rls.sql", "MS SQL", 0, 0, 13, 0, 0, 0, 0, 0, 6, 3, 22
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\migrations\20260524000006_debts_client_request_id.sql", "MS SQL", 0, 0, 19, 0, 0, 0, 0, 0, 1, 5, 25
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\migrations\20260524000007_profiles_expo_push_token.sql", "MS SQL", 0, 0, 2, 0, 0, 0, 0, 0, 1, 2, 5
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\migrations\20260524000008_contact_invites.sql", "MS SQL", 0, 0, 51, 0, 0, 0, 0, 0, 1, 10, 62
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\tsconfig.json", "JSON with Comments", 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"Total", "-", 80, 2, 654, 5952, 942, 13457, 34, 97, 618, 930, 22766
