"filename", "language", "Dotenv", "JSON with Comments", "TypeScript JSX", "MS SQL", "JSON", "TypeScript", "Markdown", "JavaScript", "comment", "blank", "total"
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\.claude\settings.json", "JSON with Comments", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\.env", "Dotenv", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\AGENTS.md", "Markdown", 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\CLAUDE.md", "Markdown", 0, 0, 0, 0, 0, 0, 167, 0, 0, 70, 237
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 31, 0, 0, 20, 51
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app.json", "JSON with Comments", 0, 50, 0, 0, 0, 0, 0, 0, 0, 1, 51
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\(tabs)\_layout.tsx", "TypeScript JSX", 0, 0, 78, 0, 0, 0, 0, 0, 0, 9, 87
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\(tabs)\groups.tsx", "TypeScript JSX", 0, 0, 347, 0, 0, 0, 0, 0, 2, 23, 372
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\(tabs)\index.tsx", "TypeScript JSX", 0, 0, 490, 0, 0, 0, 0, 0, 3, 24, 517
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\(tabs)\individuals.tsx", "TypeScript JSX", 0, 0, 367, 0, 0, 0, 0, 0, 2, 25, 394
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\(tabs)\settings.tsx", "TypeScript JSX", 0, 0, 200, 0, 0, 0, 0, 0, 9, 20, 229
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\_layout.tsx", "TypeScript JSX", 0, 0, 84, 0, 0, 0, 0, 0, 3, 10, 97
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\add-debt.tsx", "TypeScript JSX", 0, 0, 680, 0, 0, 0, 0, 0, 9, 26, 715
